Accession,Lable
GSM1437996,0
GSM1437997,0
GSM1437998,0
GSM1437999,0
GSM1438000,0
GSM1438001,0
GSM1438002,0
GSM1438003,0
GSM1438004,0
GSM1438005,0
GSM1438006,0
GSM1438007,0
GSM1438008,0
GSM1438009,0
GSM1438010,0
GSM1438011,0
GSM1438012,0
GSM1438013,1
GSM1438014,1
GSM1438015,0
GSM1438016,0
GSM1438017,0
GSM1438018,0
GSM1438019,0
GSM1438020,0
GSM1438021,1
GSM1438022,1
GSM1438023,0
GSM1438024,0
GSM1438025,1
GSM1438026,1
GSM1438027,1
GSM1438028,1
GSM1438029,0
GSM1438030,0
GSM1438031,1
GSM1438032,1
GSM1438033,0
GSM1438034,0
GSM1438035,0
GSM1438036,0
GSM1438037,0
GSM1438038,0
GSM1438039,0
GSM1438040,0
GSM1438041,1
GSM1438042,1
GSM1438043,0
GSM1438044,0
GSM1438045,1
GSM1438046,1
GSM1438047,1
GSM1438048,1
GSM1438049,1
GSM1438050,1
GSM1438051,1
GSM1438052,1
GSM1438053,1
GSM1438054,1
GSM1438055,1
GSM1438056,1
GSM1438057,1
GSM1438058,1
GSM1438059,1
GSM1438060,1
GSM1438061,1
GSM1438062,1
GSM1438063,0
GSM1438064,0
GSM1438065,0
GSM1438066,0
GSM1438067,0
GSM1438068,0
GSM1438069,0
GSM1438070,0
GSM1438071,1
GSM1438072,1
GSM1438073,1
GSM1438074,1
GSM1438075,0
GSM1438076,0
GSM1438077,1
GSM1438078,1
GSM1438079,0
GSM1438080,0
GSM1438081,1
GSM1438082,1
GSM1438083,0
GSM1438084,0
GSM1438085,0
GSM1438086,0
GSM1438087,0
GSM1438088,0
GSM1438089,0
GSM1438090,0
GSM1438091,0
GSM1438092,0
GSM1438093,0
GSM1438094,0
GSM1438095,1
GSM1438096,1
GSM1438097,0
GSM1438098,0
GSM1438099,0
GSM1438100,0
GSM1438101,0
GSM1438102,0
GSM1438103,0
GSM1438104,0
GSM1438105,0
GSM1438106,0
GSM1438107,1
GSM1438108,1
GSM1438109,0
GSM1438110,0
GSM1438111,0
GSM1438112,0
GSM1438113,0
GSM1438114,0
GSM1438115,0
GSM1438116,0
GSM1438117,0
GSM1438118,0
GSM1438119,1
GSM1438120,1
GSM1438121,1
GSM1438122,1
GSM1438123,1
GSM1438124,1
GSM1438125,1
GSM1438126,1
